PolY1,PolX1,PolY2,PolX2,PolY3,PolX3,PolY4,PolX4,PolY5,PolX5,PolY6,PolX6
-1,97.5,16.19905781,8,48,97.5,-0.5,34,-1,18,-1,87.5
-1,87.5,16.14938425,7.936865594,25.19905781,97.5,3.34,34,3.34,18,3.34,87.5
3.34,87.5,15.81600002,7.517830294,16.19905781,80,3.43190363,34.00152305,3.578949437,18.00395993,3.739780789,87.49337474
3.739780789,87.49337474,15.47881549,7.109907817,16.47886661,79.63311393,3.523779265,34.00609173,3.817826088,18.0158385,4.139439801,87.47350098
4.139439801,87.47350098,15.13793335,6.713222419,16.80434675,79.19223926,3.615598919,34.01370465,4.056557188,18.0356321,4.538855296,87.44038476
4.538855296,87.44038476,14.79345745,6.327894935,17.12572552,78.74064469,3.707334622,34.0243595,4.295070018,18.06333469,4.937905607,87.39403619
4.937905607,87.39403619,14.44549271,5.954042739,17.44290502,78.27846778,3.798958433,34.03805302,4.533291925,18.09893785,5.336469182,87.33446937
5.336469182,87.33446937,14.09414513,5.591779711,17.75578864,77.80584932,3.89044244,34.05478105,4.771150343,18.14243072,5.734424612,87.26170245
5.734424612,87.26170245,13.73952174,5.241216198,18.06428107,77.32293328,3.981758776,34.07453848,5.008572819,18.19380006,6.131650678,87.1757576
6.131650678,87.1757576,13.38173055,4.902458986,18.36828834,76.82986674,4.072879627,34.09731931,5.245487031,18.25303021,6.528026379,87.07666099
6.528026379,87.07666099,13.02088055,4.575611264,18.66771785,76.32679991,4.163777236,34.12311659,5.481820814,18.32010314,6.923430977,86.96444282
6.923430977,86.96444282,12.65708167,4.260772593,18.96247839,75.81388602,4.254423914,34.15192247,5.717502177,18.39499842,7.317744027,86.83913726
7.317744027,86.83913726,12.29044471,3.958038875,19.25248017,75.29128131,4.34479205,34.18372817,5.95245933,18.47769323,7.710845418,86.70078248
7.710845418,86.70078248,11.92108135,3.667502326,19.53763486,74.75914498,4.434854117,34.21852399,6.186620703,18.56816238,8.102615407,86.54942063
8.102615407,86.54942063,11.54910412,3.389251447,19.81785559,74.21763911,4.52458268,34.25629935,6.419914967,18.66637832,8.492934657,86.38509782
8.492934657,86.38509782,11.17462632,3.123370996,20.093057,73.66692866,4.613950408,34.29704274,6.65227106,18.77231112,8.881684273,86.20786409
