Left,Right
Northern Kentucky Norse,Northern Illinois Huskies
Toledo Rockets,Oakland Golden Grizzlies
DeSales Bulldogs,Princeton Tigers
Longwood Lancers,Richmond Spiders
Morgan State Bears,Saint Francis U Red Flash
Arkansas Razorbacks,Texas Longhorns
Hampton Pirates,VCU Rams
Coastal Carolina Chanticleers,Campbell Fighting Camels
Lamar Cardinals,Georgia Tech Yellow Jackets
Brown Bears,LIU Brooklyn Blackbirds
Austin Peay Governors,Mississippi State Bulldogs
Jacksonville State Gamecocks,Samford Bulldogs
Mount St. Mary's Mountaineers,Hofstra Pride
Blue Mountain College Toppers,Alcorn State Braves
Furman Paladins,Loyola Chicago Ramblers
Southwestern Moundbuilders,Oral Roberts Golden Eagles
William Carey Crusaders,Southeastern Louisiana Lions
Robert Morris Colonials,Missouri State Bears
Air Force Falcons,Texas State Bobcats
Our Lady of the Lake Saints,Texas A&M-Corpus Christi Islanders
NJIT Highlanders,Binghamton Bearcats
St. Francis (IL) Fighting Saints,UIW Cardinals
Albany Great Danes,Iona Gaels
Jarvis Christian Bulldogs,Grambling State Tigers
Georgia State Panthers,Montana Grizzlies
UTEP Miners,New Mexico State Aggies
Colorado College Tigers,Northern Colorado Bears
UIC Flames,Radford Highlanders
Mississippi Valley State Delta Devils,Texas Tech Red Raiders
Hartford Hawks,Utah State Aggies
Arkansas State Red Wolves,Abilene Christian Wildcats
Bethesda Flames,Weber State Wildcats
Utah Valley Wolverines,BYU Cougars
San Diego Toreros,UC Davis Aggies
Prairie View A&M Panthers,Santa Clara Broncos
San Diego Christian Hawks,California Baptist Lancers
Simpson University (CA) Red Hawks,Sacramento State Hornets
Portland Pilots,Hawaii Rainbow Warriors
Charleston Cougars,Western Carolina Catamounts
Tuskegee Golden Tigers,Florida A&M Rattlers
Shenandoah Hornets,UMBC Retrievers
Millsaps Majors,Louisiana-Monroe Warhawks
Eastern Illinois Panthers,IUPUI Jaguars
Wagner Seahawks,Massachusetts-Lowell River Hawks
Southeast Missouri State Redhawks,Bradley Braves
Jacksonville Dolphins,Northern Arizona Lumberjacks
Jackson State Tigers,St. Bonaventure Bonnies
North Carolina A&T Aggies,Wake Forest Demon Deacons
Wofford Terriers,High Point Panthers
Lafayette Leopards,La Salle Explorers
North Park Vikings,Western Illinois Leathernecks
UAPB Golden Lions,Colorado State Rams
Brevard College Tornados,USC Upstate Spartans
Tennessee State Tigers,Lipscomb Bisons
Youngstown State Penguins,Akron Zips
William & Mary Tribe,Duquesne Dukes
West Coast Baptist Eagles,Cal State Fullerton Titans
Maine Black Bears,San Francisco Dons
Bemidji State Beavers,South Dakota State Jackrabbits
Delaware Fightin' Blue Hens,Saint Peter's Peacocks
Fairfield Stags,Bucknell Bison
Coppin State Eagles,Dayton Flyers
