Left,Right
Northern Illinois Huskies,Michigan State Spartans
Fayetteville State Broncos,UNC Asheville Bulldogs
Campbellsville-Harrodsburg Tigers,Nicholls Colonels
Texas A&M-Corpus Christi Islanders,Oklahoma State Cowboys
Cal Poly Mustangs,Siena Saints
Wagner Seahawks,Saint Joseph's Hawks
St. Bonaventure Bonnies,Syracuse Orange
Penn Quakers,Toledo Rockets
Nevada Wolf Pack,Utah Runnin' Utes
Purdue Northwest Pride,Valparaiso Crusaders
Gardner-Webb Runnin' Bulldogs,Wake Forest Demon Deacons
Santa Clara Broncos,Washington State Cougars
Massachusetts-Lowell River Hawks,Sacred Heart Pioneers
McKendree Bearcats,Drake Bulldogs
Champion Baptist College Tigers,Lamar Cardinals
Norfolk State Spartans,Niagara Purple Eagles
Maine Black Bears,Rutgers Scarlet Knights
VMI Keydets,Samford Bulldogs
Georgia Southern Eagles,Dayton Flyers
Texas Southern Tigers,Texas A&M Aggies
Furman Paladins,East Tennessee State Buccaneers
NJIT Highlanders,Houston Cougars
Campbell Fighting Camels,Miami (FL) Hurricanes
Montana Grizzlies,Northern Arizona Lumberjacks
Hood Blazers,Robert Morris Colonials
Montana State Bobcats,Southern Utah Thunderbirds
Richmond Spiders,South Alabama Jaguars
Coker Cobras,USC Upstate Spartans
Chattanooga Mocs,UNCG Spartans
Louisiana Ragin' Cajuns,Southeastern Louisiana Lions
Howard Payne Yellow Jackets,Texas State Bobcats
Weber State Wildcats,Eastern Washington Eagles
Reinhardt Eagles,Jacksonville State Gamecocks
Brescia Bearcats,Eastern Kentucky Colonels
Radford Highlanders,Maryland Terrapins
Dixie State Rebels,Wyoming Cowboys
Buffalo Bulls,Canisius Golden Griffins
Charleston Cougars,UNCW Seahawks
Oregon Ducks,Boise State Broncos
Utah Valley Wolverines,Fresno State Bulldogs
Harding Bison,Arkansas State Red Wolves
Seattle Redhawks,California Golden Bears
Bryant Bulldogs,Iowa Hawkeyes
Miles Golden Bears,Jackson State Tigers
Bethel (TN) Wildcats,Murray State Racers
Stony Brook Seawolves,UNI Panthers
Brown Bears,San Diego State Aztecs
San Jose State Spartans,Saint Mary's Gaels
Green Bay Phoenix,Milwaukee Panthers
St. John's Red Storm,Seton Hall Pirates
Portland Pilots,Cal State Fullerton Titans
Idaho State Bengals,Idaho Vandals
Morgan State Bears,CSUN Matadors
UC Irvine Anteaters,Pacific Tigers
Grand Canyon Antelopes,San Diego Toreros
San Francisco Dons,UC Santa Barbara Gauchos
La Verne Leopards,California Baptist Lancers
Northern Colorado Bears,Sacramento State Hornets
Alabama A&M Bulldogs,Hawaii Rainbow Warriors
New Hampshire Wildcats,Dartmouth Big Green
Binghamton Bearcats,Michigan Wolverines
IU-South Bend Titans,Central Michigan Chippewas
Navy Midshipmen,Cornell Big Red
Holy Cross Crusaders,Iona Gaels
Evansville Aces,Miami (OH) RedHawks
Carnegie Mellon Tartans,Akron Zips
Presbyterian Blue Hose,Jacksonville Dolphins
FIU Golden Panthers,Ohio Bobcats
Rider Broncs,VCU Rams
Oakland Golden Grizzlies,Youngstown State Penguins
Wilberforce Bulldogs,North Carolina Central Eagles
UT Martin Skyhawks,Bowling Green Falcons
North Alabama Lions,Eastern Illinois Panthers
Appalachian State Mountaineers,Saint Louis Billikens
IUPUI Jaguars,Wright State Raiders
New Mexico State Aggies,Colorado State Rams
James Madison Dukes,Elon Phoenix
Drexel Dragons,Hofstra Pride
UC Riverside Highlanders,Western Michigan Broncos
Towson Tigers,William & Mary Tribe
New Mexico Lobos,Southwest Mustangs
Campbellsville-Harrodsburg Tigers,McNeese State Cowboys
Delaware Fightin' Blue Hens,Northeastern Huskies
Champion Baptist College Tigers,Northwestern State Demons
Lyon Scots,Central Arkansas Bears
Purdue Fort Wayne Mastodons,North Dakota State Bison
Piedmont International Bruins,Charleston Southern Buccaneers
Denver Pioneers,Western Illinois Leathernecks
Oral Roberts Golden Eagles,Omaha Mavericks
Massachusetts Minutemen,Georgia Bulldogs
William Woods Owls,Missouri State Bears
Missouri Science & Technology Miners,SIUE Cougars
UIC Flames,Northern Kentucky Norse
Detroit Titans,Cleveland State Vikings
LIU Brooklyn Blackbirds,Fordham Rams
UC Davis Aggies,USC Trojans
Centenary (NJ) Cyclones,UMBC Retrievers
Chestnut Hill Griffins,Maryland Eastern Shore Hawks
Monmouth Hawks,Penn Quakers
Marshall Thundering Herd,Virginia Cavaliers
NJIT Highlanders,Duquesne Dukes
Oberlin College Yeomen,Kent State Golden Flashes
Montana State Bobcats,Northern Arizona Lumberjacks
Texas Lutheran Bulldogs,Sam Houston State Bearkats
Albany Great Danes,Niagara Purple Eagles
Weber State Wildcats,Idaho Vandals
Idaho State Bengals,Eastern Washington Eagles
Northern Colorado Bears,Portland State Vikings
Alabama A&M Bulldogs,Pepperdine Waves
Montana Grizzlies,Southern Utah Thunderbirds
Mars Hill Lions,Radford Highlanders
CSUN Matadors,San Diego State Aztecs
Huston-Tillotson Rams,Prairie View A&M Panthers
Presbyterian Blue Hose,South Carolina State Bulldogs
New Orleans Privateers,Abilene Christian Wildcats
Nebraska Cornhuskers,Maryland Terrapins
Boston University Terriers,American University Eagles
Bucknell Bison,Army West Point Black Knights
Maine Black Bears,Brown Bears
Georgetown Hoyas,Butler Bulldogs
Allen Yellow Jackets,Campbell Fighting Camels
Drake Bulldogs,Evansville Aces
Lafayette Leopards,Lehigh Mountain Hawks
Harvard Crimson,North Carolina Tar Heels
Florida National Conquistadors,North Florida Ospreys
Dartmouth Big Green,Vermont Catamounts
Kennesaw State Owls,Yale Bulldogs
Washington College Shoremen,High Point Panthers
Columbia Lions,Binghamton Bearcats
USC Upstate Spartans,Georgia Tech Yellow Jackets
Nicholls Colonels,Northwestern State Demons
Southeastern Louisiana Lions,Stephen F. Austin Lumberjacks
UNI Panthers,Bradley Braves
Lamar Cardinals,Houston Baptist Huskies
East Carolina Pirates,SMU Mustangs
Missouri State Bears,Southern Illinois Salukis
Illinois State Redbirds,Valparaiso Crusaders
Central Arkansas Bears,Texas A&M-Corpus Christi Islanders
North Dakota State Bison,Omaha Mavericks
McNeese State Cowboys,UIW Cardinals
Northwestern Wildcats,Michigan State Spartans
DePaul Blue Demons,Villanova Wildcats
New Mexico Lobos,Air Force Falcons
South Dakota Coyotes,Denver Pioneers
Oklahoma Sooners,Kansas Jayhawks
Indiana State Sycamores,Loyola Chicago Ramblers
Boise State Broncos,Wyoming Cowboys
Fresno State Bulldogs,San Jose State Spartans
Bethesda Flames,UC Santa Barbara Gauchos
Colorado State Rams,UNLV Runnin' Rebels
Lincoln (PA) Lions,Morgan State Bears
Siena Saints,Saint Peter's Peacocks
LIU Brooklyn Blackbirds,Sacred Heart Pioneers
Wagner Seahawks,Central Connecticut State Blue Devils
William & Mary Tribe,Delaware Fightin' Blue Hens
Wright State Raiders,Detroit Titans
Elon Phoenix,Drexel Dragons
Samford Bulldogs,East Tennessee State Buccaneers
Rider Broncs,Fairfield Stags
Mercer Bears,Furman Paladins
Illinois Fighting Illini,Indiana Hoosiers
Monmouth Hawks,Iona Gaels
UNCW Seahawks,James Madison Dukes
Holy Cross Crusaders,Loyola Maryland Greyhounds
Quinnipiac Bobcats,Manhattan Jaspers
Canisius Golden Griffins,Marist Red Foxes
North Carolina State Wolfpack,Miami (FL) Hurricanes
Penn State Nittany Lions,Michigan Wolverines
Colgate Raiders,Navy Midshipmen
Northern Kentucky Norse,Oakland Golden Grizzlies
Fairleigh Dickinson Knights,Robert Morris Colonials
Mount St. Mary's Mountaineers,Saint Francis U Red Flash
Edward Waters Tigers,Stetson Hatters
Charleston Cougars,Towson Tigers
Coastal Carolina Chanticleers,Troy Trojans
Chattanooga Mocs,Western Carolina Catamounts
Citadel Bulldogs,Wofford Terriers
St. Francis Brooklyn Terriers,Bryant Bulldogs
George Mason Patriots,Saint Joseph's Hawks
South Dakota State Jackrabbits,Purdue Fort Wayne Mastodons
Utah Valley Wolverines,Grand Canyon Antelopes
Little Rock Trojans,Louisiana-Monroe Warhawks
North Dakota Fighting Hawks,Oral Roberts Golden Eagles
Appalachian State Mountaineers,South Alabama Jaguars
Arkansas State Red Wolves,Louisiana Ragin' Cajuns
Georgia Southern Eagles,Texas State Bobcats
Georgia State Panthers,UT Arlington Mavericks
Youngstown State Penguins,Green Bay Phoenix
Cleveland State Vikings,Milwaukee Panthers
Morehead State Eagles,Murray State Racers
UT Martin Skyhawks,Eastern Illinois Panthers
Jacksonville State Gamecocks,Belmont Bruins
Sacramento State Hornets,Montana Grizzlies
Portland State Vikings,Montana State Bobcats
Saint Mary's Gaels,San Francisco Dons
Northern Arizona Lumberjacks,Weber State Wildcats
Southern Utah Thunderbirds,Idaho State Bengals
Eastern Kentucky Colonels,Austin Peay Governors
Southeast Missouri State Redhawks,SIUE Cougars
Tennessee Tech Golden Eagles,Tennessee State Tigers
UT Rio Grande Valley Vaqueros,UC Irvine Anteaters
Loyola Marymount Lions,Pepperdine Waves
San Diego Toreros,Santa Clara Broncos
California Golden Bears,USC Trojans
New Mexico State Aggies,California Baptist Lancers
Seattle Redhawks,Bakersfield Roadrunners
Eastern Washington Eagles,Idaho Vandals
BYU Cougars,Pacific Tigers
Johnson & Wales (RI) Wildcats,Cornell Big Red
IUPUI Jaguars,UIC Flames
Holy Names Hawks,Cal Poly Mustangs
Bethesda Flames,UC Riverside Highlanders
Syracuse Orange,Notre Dame Fighting Irish
Boston College Eagles,Virginia Tech Hokies
Lafayette Leopards,Army West Point Black Knights
Bucknell Bison,Boston University Terriers
Northern Kentucky Norse,Detroit Titans
Cincinnati Bearcats,East Carolina Pirates
Fairfield Stags,Iona Gaels
La Salle Explorers,Massachusetts Minutemen
Maine Black Bears,UMBC Retrievers
UNCG Spartans,VMI Keydets
Cleveland State Vikings,Green Bay Phoenix
Stony Brook Seawolves,Massachusetts-Lowell River Hawks
Western Michigan Broncos,Akron Zips
Utah Runnin' Utes,Arizona Wildcats
VCU Rams,Fordham Rams
Wake Forest Demon Deacons,Georgia Tech Yellow Jackets
Bradley Braves,Indiana State Sycamores
Central Michigan Chippewas,Miami (OH) RedHawks
Saint Peter's Peacocks,Monmouth Hawks
Winthrop Eagles,UNC Asheville Bulldogs
Northern Illinois Huskies,Ohio Bobcats
Villanova Wildcats,Providence Friars
Maryland Terrapins,Rutgers Scarlet Knights
Valparaiso Crusaders,Missouri State Bears
UNCW Seahawks,Towson Tigers
Samford Bulldogs,Western Carolina Catamounts
New Hampshire Wildcats,Binghamton Bearcats
North Dakota Fighting Hawks,Denver Pioneers
Loyola Chicago Ramblers,Drake Bulldogs
Chicago State Cougars,UMKC Kangaroos
Arkansas State Red Wolves,Louisiana-Monroe Warhawks
Houston Baptist Huskies,New Orleans Privateers
Wright State Raiders,Oakland Golden Grizzlies
Georgia Southern Eagles,UT Arlington Mavericks
Appalachian State Mountaineers,Troy Trojans
Georgia Bulldogs,Tennessee Volunteers
Central Connecticut State Blue Devils,Sacred Heart Pioneers
William & Mary Tribe,Drexel Dragons
Chattanooga Mocs,East Tennessee State Buccaneers
Citadel Bulldogs,Furman Paladins
Northeastern Huskies,Hofstra Pride
Florida A&M Rattlers,Howard Bison
Evansville Aces,Illinois State Redbirds
Charleston Cougars,James Madison Dukes
Sacramento State Hornets,Montana State Bobcats
USC Upstate Spartans,Presbyterian Blue Hose
Coastal Carolina Chanticleers,South Alabama Jaguars
Baylor Bears,TCU Horned Frogs
California Golden Bears,UCLA Bruins
St. Francis Brooklyn Terriers,Wagner Seahawks
Kennesaw State Owls,NJIT Highlanders
LIU Brooklyn Blackbirds,Bryant Bulldogs
Bethune-Cookman Wildcats,North Carolina Central Eagles
Gardner-Webb Runnin' Bulldogs,Campbell Fighting Camels
SIUE Cougars,Eastern Illinois Panthers
McNeese State Cowboys,Northwestern State Demons
Longwood Lancers,Radford Highlanders
North Carolina A&T Aggies,South Carolina State Bulldogs
Maryland Eastern Shore Hawks,Morgan State Bears
Savannah State Tigers,Coppin State Eagles
Morehead State Eagles,Austin Peay Governors
North Alabama Lions,North Florida Ospreys
Penn Quakers,Princeton Tigers
Mount St. Mary's Mountaineers,Robert Morris Colonials
Central Arkansas Bears,Southeastern Louisiana Lions
Georgia State Panthers,Texas State Bobcats
Youngstown State Penguins,Milwaukee Panthers
High Point Panthers,Charleston Southern Buccaneers
Texas A&M-Corpus Christi Islanders,Lamar Cardinals
UT Martin Skyhawks,Southeast Missouri State Redhawks
Colorado Buffaloes,Arizona State Sun Devils
Tennessee Tech Golden Eagles,Belmont Bruins
Duquesne Dukes,Davidson Wildcats
Lipscomb Bisons,Jacksonville Dolphins
Portland Pilots,Loyola Marymount Lions
Florida Atlantic Owls,Middle Tennessee Blue Raiders
Idaho Vandals,Northern Colorado Bears
Jacksonville State Gamecocks,Tennessee State Tigers
Grambling State Tigers,Alabama State Hornets
Texas Southern Tigers,Alcorn State Braves
Prairie View A&M Panthers,Southern University Jaguars
Abilene Christian Wildcats,Sam Houston State Bearkats
Delaware State Hornets,Norfolk State Spartans
Elon Phoenix,Delaware Fightin' Blue Hens
Bowling Green Falcons,Kent State Golden Flashes
Niagara Purple Eagles,Manhattan Jaspers
Western Kentucky Hilltoppers,Old Dominion Monarchs
Quinnipiac Bobcats,Rider Broncs
Canisius Golden Griffins,Siena Saints
Fairleigh Dickinson Knights,Saint Francis U Red Flash
Mercer Bears,Wofford Terriers
Jackson State Tigers,Alabama A&M Bulldogs
Vermont Catamounts,Albany Great Danes
Liberty Flames,FGCU Eagles
FIU Golden Panthers,UAB Blazers
Holy Names Hawks,UC Davis Aggies
Seattle Redhawks,Grand Canyon Antelopes
Eastern Kentucky Colonels,Murray State Racers
Nevada Wolf Pack,New Mexico Lobos
Southern Illinois Salukis,UNI Panthers
Western Illinois Leathernecks,Oral Roberts Golden Eagles
San Francisco Dons,Pepperdine Waves
Little Rock Trojans,Louisiana Ragin' Cajuns
Nicholls Colonels,UIW Cardinals
Mississippi Valley State Delta Devils,UAPB Golden Lions
Ole Miss Rebels,Vanderbilt Commodores
Portland State Vikings,Montana Grizzlies
Air Force Falcons,Utah State Aggies
Southern Utah Thunderbirds,Weber State Wildcats
Northern Arizona Lumberjacks,Idaho State Bengals
San Diego State Aztecs,Boise State Broncos
Colorado State Rams,Fresno State Bulldogs
Bethesda Flames,Long Beach State 49ers
Wyoming Cowboys,UNLV Runnin' Rebels
Yale Bulldogs,CSUN Matadors
UT Rio Grande Valley Vaqueros,California Baptist Lancers
Utah Valley Wolverines,Bakersfield Roadrunners
Pacific Tigers,San Diego Toreros
BYU Cougars,Saint Mary's Gaels
Richmond Spiders,Dayton Flyers
Xavier Musketeers,Marquette Golden Eagles
Seton Hall Pirates,DePaul Blue Demons
Holy Cross Crusaders,Navy Midshipmen
Illinois Fighting Illini,Northwestern Wildcats
American University Eagles,Colgate Raiders
McGill Redmen,Harvard Crimson
Loyola Maryland Greyhounds,Lehigh Mountain Hawks
George Washington Colonials,Saint Joseph's Hawks
Dickinson State Blue Hawks,North Dakota State Bison
St. Bonaventure Bonnies,George Mason Patriots
Rhode Island Rams,Saint Louis Billikens
Indiana Hoosiers,Michigan Wolverines
South Dakota State Jackrabbits,South Dakota Coyotes
Nebraska Cornhuskers,Iowa Hawkeyes
Memphis Tigers,Houston Cougars
Stanford Cardinal,USC Trojans
Niagara Purple Eagles,Fairfield Stags
Coppin State Eagles,Delaware State Hornets
Howard Bison,Maryland Eastern Shore Hawks
Savannah State Tigers,Morgan State Bears
Florida A&M Rattlers,Norfolk State Spartans
Jackson State Tigers,Alabama State Hornets
Prairie View A&M Panthers,Alcorn State Braves
Texas Southern Tigers,Southern University Jaguars
Grambling State Tigers,Alabama A&M Bulldogs
Eastern Washington Eagles,Northern Colorado Bears
Eastern Michigan Eagles,Ball State Cardinals
Ohio Bobcats,Bowling Green Falcons
Brown Bears,Canisius Golden Griffins
Akron Zips,Central Michigan Chippewas
Missouri State Bears,Indiana State Sycamores
Western Michigan Broncos,Kent State Golden Flashes
Texas A&M Aggies,Kentucky Wildcats
Manhattan Jaspers,Marist Red Foxes
Northern Illinois Huskies,Miami (OH) RedHawks
Maryland Terrapins,Minnesota Golden Gophers
Tennessee Volunteers,Missouri Tigers
St. John's Red Storm,Villanova Wildcats
Skidmore Thoroughbreds,Yale Bulldogs
Mid-Atlantic Christian Mustangs,North Carolina A&T Aggies
Southern Illinois Salukis,Drake Bulldogs
Loyola Chicago Ramblers,Evansville Aces
UNI Panthers,Illinois State Redbirds
Bradley Braves,Valparaiso Crusaders
Air Force Falcons,Colorado State Rams
FGCU Eagles,North Alabama Lions
Wyoming Cowboys,San Diego State Aztecs
UNLV Runnin' Rebels,New Mexico Lobos
Vanderbilt Commodores,Georgia Bulldogs
Georgetown Hoyas,Xavier Musketeers
Navy Midshipmen,American University Eagles
Army West Point Black Knights,Boston University Terriers
Colgate Raiders,Bucknell Bison
Dayton Flyers,George Washington Colonials
Davidson Wildcats,George Mason Patriots
Virginia Tech Hokies,Georgia Tech Yellow Jackets
UMBC Retrievers,Hartford Hawks
West Virginia Mountaineers,Kansas State Wildcats
Loyola Maryland Greyhounds,Lafayette Leopards
Vermont Catamounts,Maine Black Bears
Massachusetts-Lowell River Hawks,New Hampshire Wildcats
Rhode Island Rams,Richmond Spiders
Ohio State Buckeyes,Rutgers Scarlet Knights
Tulane Green Wave,South Florida Bulls
Saint Joseph's Hawks,St. Bonaventure Bonnies
Liberty Flames,Stetson Hatters
Binghamton Bearcats,Stony Brook Seawolves
Cornell Big Red,Towson Tigers
La Salle Explorers,VCU Rams
Jacksonville Dolphins,Kennesaw State Owls
Lehigh Mountain Hawks,Holy Cross Crusaders
Abilene Christian Wildcats,McNeese State Cowboys
Texas A&M-Corpus Christi Islanders,Northwestern State Demons
North Florida Ospreys,Lipscomb Bisons
Fordham Rams,Duquesne Dukes
New Orleans Privateers,Lamar Cardinals
Stephen F. Austin Lumberjacks,Nicholls Colonels
Louisville Cardinals,Pittsburgh Panthers
Sam Houston State Bearkats,Central Arkansas Bears
Florida Gators,Arkansas Razorbacks
Butler Bulldogs,Seton Hall Pirates
Arizona State Sun Devils,California Golden Bears
Miami (FL) Hurricanes,Florida State Seminoles
TCU Horned Frogs,Kansas Jayhawks
Massachusetts Minutemen,Saint Louis Billikens
Fresno State Bulldogs,Utah State Aggies
Cal Poly Mustangs,UC Santa Barbara Gauchos
CSUN Matadors,UC Riverside Highlanders
Arizona Wildcats,Stanford Cardinal
Cal State Fullerton Titans,Hawaii Rainbow Warriors
UT Arlington Mavericks,Appalachian State Mountaineers
Winthrop Eagles,Campbell Fighting Camels
Drexel Dragons,Charleston Cougars
Texas State Bobcats,Coastal Carolina Chanticleers
East Tennessee State Buccaneers,Citadel Bulldogs
Green Bay Phoenix,Detroit Titans
Northeastern Huskies,Elon Phoenix
Central Connecticut State Blue Devils,Fairleigh Dickinson Knights
Saint Peter's Peacocks,Fairfield Stags
Charlotte 49ers,FIU Golden Panthers
Louisiana-Monroe Warhawks,Georgia Southern Eagles
Louisiana Ragin' Cajuns,Georgia State Panthers
Saint Francis U Red Flash,LIU Brooklyn Blackbirds
Western Carolina Catamounts,Mercer Bears
California Baptist Lancers,UMKC Kangaroos
Bryant Bulldogs,Mount St. Mary's Mountaineers
Wofford Terriers,UNCG Spartans
Delaware Fightin' Blue Hens,UNCW Seahawks
Milwaukee Panthers,Oakland Golden Grizzlies
Furman Paladins,VMI Keydets
Sacred Heart Pioneers,Wagner Seahawks
Hofstra Pride,William & Mary Tribe
Oral Roberts Golden Eagles,Purdue Fort Wayne Mastodons
Cleveland State Vikings,IUPUI Jaguars
Presbyterian Blue Hose,High Point Panthers
Monmouth Hawks,Quinnipiac Bobcats
Radford Highlanders,USC Upstate Spartans
UNC Asheville Bulldogs,Longwood Lancers
Charleston Southern Buccaneers,Hampton Pirates
Troy Trojans,Little Rock Trojans
Morehead State Eagles,Belmont Bruins
UAB Blazers,Louisiana Tech Bulldogs
South Alabama Jaguars,Arkansas State Red Wolves
Michigan Wolverines,Illinois Fighting Illini
Youngstown State Penguins,UIC Flames
Middle Tennessee Blue Raiders,Southern Miss Golden Eagles
Bakersfield Roadrunners,UT Rio Grande Valley Vaqueros
Omaha Mavericks,North Dakota Fighting Hawks
Western Illinois Leathernecks,North Dakota State Bison
Denver Pioneers,South Dakota State Jackrabbits
Murray State Racers,UT Martin Skyhawks
Eastern Illinois Panthers,Jacksonville State Gamecocks
Austin Peay Governors,Southeast Missouri State Redhawks
Eastern Kentucky Colonels,Tennessee State Tigers
SIUE Cougars,Tennessee Tech Golden Eagles
Portland Pilots,BYU Cougars
Washington State Cougars,Colorado Buffaloes
Grand Canyon Antelopes,New Mexico State Aggies
Robert Morris Colonials,St. Francis Brooklyn Terriers
North Texas Mean Green,UTEP Miners
Montana Grizzlies,Eastern Washington Eagles
UC Davis Aggies,UC Irvine Anteaters
Montana State Bobcats,Idaho Vandals
Pacific Tigers,Gonzaga Bulldogs
USC Trojans,Oregon State Beavers
Pepperdine Waves,Santa Clara Broncos
Rider Broncs,Canisius Golden Griffins
Siena Saints,Marist Red Foxes
Indiana Hoosiers,Maryland Terrapins
Iona Gaels,Niagara Purple Eagles
Wright State Raiders,Northern Kentucky Norse
Purdue Boilermakers,Wisconsin Badgers
Ohio Bobcats,Ball State Cardinals
American University Eagles,Bucknell Bison
Kent State Golden Flashes,Eastern Michigan Eagles
Louisville Cardinals,North Carolina Tar Heels
Boston College Eagles,Notre Dame Fighting Irish
Western Carolina Catamounts,Citadel Bulldogs
Milwaukee Panthers,Detroit Titans
Louisiana-Monroe Warhawks,Georgia State Panthers
Missouri Tigers,South Carolina Gamecocks
Wofford Terriers,VMI Keydets
Youngstown State Penguins,IUPUI Jaguars
Texas State Bobcats,Appalachian State Mountaineers
UT Arlington Mavericks,Coastal Carolina Chanticleers
Elmira Soaring Eagles,Columbia Lions
VCU Rams,Davidson Wildcats
Indiana State Sycamores,Evansville Aces
Jacksonville Dolphins,Liberty Flames
Illinois State Redbirds,Loyola Chicago Ramblers
Army West Point Black Knights,Loyola Maryland Greyhounds
Seton Hall Pirates,Marquette Golden Eagles
Wake Forest Demon Deacons,Miami (FL) Hurricanes
Manhattan Jaspers,Monmouth Hawks
Boston University Terriers,Navy Midshipmen
Drexel Dragons,UNCW Seahawks
Princeton Tigers,Penn Quakers
Toledo Rockets,Western Michigan Broncos
High Point Panthers,Winthrop Eagles
Bryant Bulldogs,Sacred Heart Pioneers
Ohio State Buckeyes,Iowa Hawkeyes
Green Bay Phoenix,Oakland Golden Grizzlies
Boise State Broncos,San Jose State Spartans
Maine Black Bears,Albany Great Danes
Charleston Southern Buccaneers,Longwood Lancers
Western Illinois Leathernecks,North Dakota Fighting Hawks
California Baptist Lancers,Chicago State Cougars
Lafayette Leopards,Holy Cross Crusaders
Texas A&M Aggies,Alabama Crimson Tide
San Diego State Aztecs,Air Force Falcons
South Alabama Jaguars,Little Rock Trojans
Delaware Fightin' Blue Hens,Charleston Cougars
Lehigh Mountain Hawks,Colgate Raiders
New Mexico Lobos,Colorado State Rams
Saint Joseph's Hawks,Duquesne Dukes
Savannah State Tigers,Florida A&M Rattlers
Charlotte 49ers,Florida Atlantic Owls
Richmond Spiders,George Washington Colonials
Bethune-Cookman Wildcats,Howard Bison
Towson Tigers,James Madison Dukes
Central Connecticut State Blue Devils,Mount St. Mary's Mountaineers
Montana Grizzlies,Northern Colorado Bears
Pepperdine Waves,San Diego Toreros
Northern Arizona Lumberjacks,Southern Utah Thunderbirds
Valparaiso Crusaders,Southern Illinois Salukis
Saint Francis U Red Flash,St. Francis Brooklyn Terriers
Fairleigh Dickinson Knights,Wagner Seahawks
Northeastern Huskies,William & Mary Tribe
UNC Asheville Bulldogs,Hampton Pirates
Lamar Cardinals,Central Arkansas Bears
North Carolina Central Eagles,Maryland Eastern Shore Hawks
Cleveland State Vikings,UIC Flames
North Carolina A&T Aggies,Delaware State Hornets
Bowling Green Falcons,Central Michigan Chippewas
Norfolk State Spartans,Coppin State Eagles
Robert Morris Colonials,LIU Brooklyn Blackbirds
South Carolina State Bulldogs,Morgan State Bears
Houston Baptist Huskies,Nicholls Colonels
Presbyterian Blue Hose,Radford Highlanders
Fordham Rams,St. Bonaventure Bonnies
Austin Peay Governors,UT Martin Skyhawks
Samford Bulldogs,Chattanooga Mocs
NJIT Highlanders,North Alabama Lions
East Tennessee State Buccaneers,Mercer Bears
Akron Zips,Northern Illinois Huskies
Troy Trojans,Arkansas State Red Wolves
Louisiana Ragin' Cajuns,Georgia Southern Eagles
SIUE Cougars,Jacksonville State Gamecocks
Furman Paladins,UNCG Spartans
FGCU Eagles,North Florida Ospreys
Abilene Christian Wildcats,Southeastern Louisiana Lions
USC Upstate Spartans,Gardner-Webb Runnin' Bulldogs
Stetson Hatters,Lipscomb Bisons
McNeese State Cowboys,New Orleans Privateers
Oral Roberts Golden Eagles,South Dakota State Jackrabbits
Alabama A&M Bulldogs,Mississippi Valley State Delta Devils
Murray State Racers,Southeast Missouri State Redhawks
Northwestern State Demons,Stephen F. Austin Lumberjacks
UMBC Retrievers,Massachusetts-Lowell River Hawks
LSU Tigers,Arkansas Razorbacks
Eastern Kentucky Colonels,Belmont Bruins
Southern University Jaguars,Grambling State Tigers
Saint Louis Billikens,La Salle Explorers
Bakersfield Roadrunners,New Mexico State Aggies
Texas Southern Tigers,Prairie View A&M Panthers
Arizona State Sun Devils,Stanford Cardinal
Georgia Tech Yellow Jackets,Syracuse Orange
Utah State Aggies,Wyoming Cowboys
Alcorn State Braves,Jackson State Tigers
UIW Cardinals,Sam Houston State Bearkats
Harvard Crimson,Dartmouth Big Green
Hofstra Pride,Elon Phoenix
UC Davis Aggies,Long Beach State 49ers
Western Kentucky Hilltoppers,Marshall Thundering Herd
New Hampshire Wildcats,Stony Brook Seawolves
Hartford Hawks,Vermont Catamounts
Missouri State Bears,Bradley Braves
Connecticut Huskies,Cincinnati Bearcats
Wichita State Shockers,Houston Cougars
Grand Canyon Antelopes,UT Rio Grande Valley Vaqueros
Washington State Cougars,Utah Runnin' Utes
Alabama State Hornets,UAPB Golden Lions
Vanderbilt Commodores,Kentucky Wildcats
Morehead State Eagles,Tennessee State Tigers
Eastern Illinois Panthers,Tennessee Tech Golden Eagles
Santa Clara Broncos,BYU Cougars
UC Irvine Anteaters,Cal State Fullerton Titans
Seattle Redhawks,Utah Valley Wolverines
CSUN Matadors,Cal Poly Mustangs
Washington Huskies,Colorado Buffaloes
Saint Mary's Gaels,Loyola Marymount Lions
Pacific Tigers,Portland Pilots
UC Riverside Highlanders,UC Santa Barbara Gauchos
Idaho State Bengals,Sacramento State Hornets
Weber State Wildcats,Portland State Vikings
Marist Red Foxes,Saint Peter's Peacocks
Iona Gaels,Canisius Golden Griffins
Rider Broncs,Niagara Purple Eagles
Fairfield Stags,Quinnipiac Bobcats
Purdue Fort Wayne Mastodons,South Dakota Coyotes
Massachusetts Minutemen,Dayton Flyers
East Carolina Pirates,UCF Knights
Drake Bulldogs,UNI Panthers
George Mason Patriots,Rhode Island Rams
Memphis Tigers,Tulane Green Wave
Northwestern Wildcats,Michigan Wolverines
Johnson & Wales (RI) Wildcats,Brown Bears
Holy Cross Crusaders,Bucknell Bison
Monmouth Hawks,Siena Saints
Morgan State Bears,Howard Bison
South Carolina State Bulldogs,Coppin State Eagles
North Carolina A&T Aggies,Maryland Eastern Shore Hawks
Bethune-Cookman Wildcats,Norfolk State Spartans
North Carolina Central Eagles,Delaware State Hornets
Alabama A&M Bulldogs,UAPB Golden Lions
Alcorn State Braves,Grambling State Tigers
Southern University Jaguars,Jackson State Tigers
Alabama State Hornets,Mississippi Valley State Delta Devils
Northern Colorado Bears,Montana State Bobcats
